price,millage,year,make,model,city,state,accidents,owners,use
22597,23878,2019,Chevrolet,Express Passenger, Jersey City, NJ,0,1.0,Personal
9495,77770,2016,Nissan,Altima, Union City, NJ,1,2.0,Fleet
17984,88193,2013,BMW,7 Series, Jersey City, NJ,0,2.0,Personal
22792,85399,2014,BMW,6 Series, Jersey City, NJ,0,3.0,Fleet
15297,24433,2019,Kia,Soul, Jersey City, NJ,0,1.0,Personal
17495,46675,2015,Ford,Edge, Union City, NJ,0,1.0,Personal
21995,92517,2015,Mercedes-Benz,GL, Union City, NJ,1,1.0,Personal
14597,35562,2019,Kia,Soul, Jersey City, NJ,0,1.0,Personal
12995,39667,2015,Chevrolet,Equinox, Union City, NJ,0,1.0,Personal
12777,106105,2006,Lexus,SC, Jersey City, NJ,2,5.0,Personal
18897,41882,2019,Jeep,Compass, Jersey City, NJ,0,1.0,Personal
19797,28059,2019,Dodge,Grand Caravan, Jersey City, NJ,0,1.0,Personal
39792,30035,2008,Bentley,Flying Spur, Jersey City, NJ,1,1.0,Personal
4950,146988,2007,BMW,X3, Brooklyn, NY,2,4.0,Fleet
24996,13943,2017,Lexus,ES, Little Falls, NJ,0,1.0,Personal
20397,20376,2019,Ford,Fusion, Jersey City, NJ,0,1.0,Personal
23697,32399,2019,Jeep,Cherokee, Jersey City, NJ,0,1.0,Personal
12472,108898,2007,Mercedes-Benz,SL, Jersey City, NJ,0,7.0,Personal
10942,47368,2016,Ford,Fusion, Carlstadt, NJ,0,3.0,Fleet
5999,84011,2017,Nissan,Versa, Irvington, NJ,0,2.0,Fleet
19097,36433,2019,Jeep,Compass, Jersey City, NJ,0,1.0,Personal
8900,49131,2016,Ford,Fusion, Belford, NJ,1,2.0,Fleet
9900,78475,2017,Chevrolet,Malibu, Belford, NJ,0,1.0,Fleet
2950,190210,2005,Volvo,XC90, Brooklyn, NY,3,3.0,Personal
8499,79032,2012,Honda,Civic, Union City, NJ,0,2.0,Personal
8982,135079,2007,Lexus,GX, Hasbrouck Heights, NJ,0,4.0,Personal
12900,30006,2017,Toyota,Camry, Hillside, NJ,1,2.0,Fleet
19597,36393,2019,Chevrolet,Equinox, Jersey City, NJ,0,1.0,Personal
17397,27934,2019,Ford,EcoSport, Jersey City, NJ,0,1.0,Personal
4999,123702,2010,Volkswagen,Passat, Brooklyn, NY,0,3.0,Fleet
10495,113812,2013,BMW,X3, Newark, NJ,0,2.0,Personal
15542,52378,2017,GMC,Savana Cargo Van, Carlstadt, NJ,0,1.0,Personal
8999,73277,2013,Chrysler,Town & Country, Union City, NJ,0,1.0,Personal
12995,90150,2007,Mercedes-Benz,S-Class, Jamaica, NY,0,1.0,Personal
9999,107207,2013,Jeep,Grand Cherokee, Brooklyn, NY,0,3.0,Personal
15995,68608,2013,Subaru,Tribeca, Emerson, NJ,0,1.0,Personal
12795,73405,2017,Honda,Accord, Union, NJ,0,1.0,Personal
1995,142600,2003,Nissan,Sentra, Staten Island, NY,1,3.0,Personal
