car_name,price,millage,location,history
2019 Lexus RX,"$38,990","6,245 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 INFINITI Q50,"$27,497","21,660 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2012 Audi A5,"$12,497","98,795 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2019 Lexus RX,"$39,490","6,031 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 Ford Econoline Wagon,"$13,750","91,091 miles","5.7 mi - Brooklyn, NY","1 accident, 1 Owner, Personal use"
2017 Porsche 911,"$133,995","7,312 miles","4.8 mi - New York, NY","No accidents, 2 Owners, Personal use"
2017 Kia Optima,"$10,995","129,982 miles","4.3 mi - Newark, NJ","No accidents, 1 Owner, Personal use"
2016 Nissan Frontier,"$15,999","84,063 miles","2.5 mi - Union City, NJ","No accidents, 3 Owners, Fleet use"
2014 Ford Econoline Cargo Van,"$13,495","94,224 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2016 Ford Fusion,"$10,942","47,368 miles","6.2 mi - Carlstadt, NJ","No accidents, 3 Owners, Fleet use"
2012 Volkswagen Touareg,"$11,995","100,704 miles","5.4 mi - Bayonne, NJ","1 accident, 2 Owners, Fleet use"
2020 Toyota Corolla,"$16,599","7,558 miles","4.1 mi - Union City, NJ","No accidents, 1 Owner, Fleet use"
2010 INFINITI G,"$14,980","86,656 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Jeep Cherokee,"$23,990","13,698 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2004 Toyota Avalon,"$2,995","158,760 miles","2.9 mi - Union City, NJ","2 accidents, 4 Owners, Personal use"
2012 Jeep Grand Cherokee,"$11,995","97,465 miles","4.3 mi - Newark, NJ","No accidents, 2 Owners, Personal use"
2013 Jeep Wrangler,"$18,799","116,499 miles","4.1 mi - Union City, NJ","1 accident, 2 Owners, Personal use"
2010 Honda Accord Crosstour,"$7,995","146,304 miles","2.9 mi - Union City, NJ","No accidents, 4 Owners, Personal use"
2019 Lexus RX,"$39,990","5,743 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$17,999","34,220 miles","2.5 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2017 Mercedes-Benz SL,"$59,901","11,157 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2010 Mercedes-Benz E-Class,"$11,995","79,601 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2020 Hyundai Santa Fe,"$24,997","14,240 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2015 Audi Q7,0,"64,328 miles","2.9 mi - Union City, NJ","1 accident, 3 Owners, Personal use"
2018 Porsche 911,"$159,995","5,388 miles","4.8 mi - New York, NY","No accidents, 2 Owners, Personal use"
2018 Audi A5,"$30,686","15,276 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2017 Jeep Wrangler,"$28,990","22,472 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$39,490","5,635 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Jeep Compass,"$18,500","20,000 miles","4.4 mi - Bayonne, NJ","No accidents, 2 Owners, Fleet use"
2017 Audi Q7,"$32,286","41,418 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2017 Mitsubishi Lancer,"$6,995","86,532 miles","5.4 mi - Bayonne, NJ","1 accident, 2 Owners, Fleet use"
2014 Land Rover Range Rover Evoque,"$17,995","75,514 miles","4.3 mi - Newark, NJ","No accidents, 2 Owners, Fleet use"
2006 Nissan Armada,"$6,450","119,128 miles","5.7 mi - Brooklyn, NY","1 accident, 3 Owners, Personal use"
2017 Mercedes-Benz GLS,"$48,904","18,737 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 GMC Savana Cargo Van,"$15,542","52,378 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2011 Audi S4,"$14,790","96,467 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2017 Alfa Romeo Giulia,"$25,987","36,966 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Volkswagen Golf R,"$27,997","44,243 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Fleet use"
2002 Toyota Camry,"$3,995","111,202 miles","2.9 mi - Union City, NJ","1 accident, 3 Owners, Personal use"
2019 Lexus RX,"$39,315","9,226 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Jaguar F-PACE,"$33,792","50,367 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2008 Ford Escape,"$4,495","110,215 miles","6.7 mi - Lyndhurst, NJ","No accidents, 2 Owners, Personal use"
2017 GMC Savana Cargo Van,"$15,542","52,796 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2018 Ford F-150,"$22,742","75,293 miles","6.2 mi - Carlstadt, NJ","1 accident, 1 Owner, Personal use"
2015 Honda Odyssey,"$14,987","120,954 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Audi S3,"$31,686","26,739 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2013 Mercedes-Benz GLK,"$17,492","52,037 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Personal use"
2019 Audi A4,"$33,286","4,361 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$39,990","7,686 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$18,995","94,764 miles","8.3 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2008 Honda Odyssey,"$2,999","221,667 miles","5.7 mi - Brooklyn, NY","No accidents, 4 Owners, Personal use"
2018 Porsche Macan,"$44,995","4,460 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Subaru Outback,"$20,942","20,276 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$40,990","9,079 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 BMW 3 Series,"$14,997","87,009 miles","1.3 mi - Jersey City, NJ","No accidents, 3 Owners, Personal use"
2018 Audi Q5,"$28,886","29,380 miles","4.7 mi - Secaucus, NJ","No accidents, 2 Owners, Personal use"
2015 Toyota RAV4,"$14,995","68,277 miles","2.9 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2017 GMC Savana Cargo Van,"$15,542","50,193 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2017 Mercedes-Benz GLC,"$39,901","30,134 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2011 Ford Super Duty F-250,"$13,995","141,701 miles","5.6 mi - Newark, NJ","No accidents, 1 Owner, Personal use"
2011 Mercedes-Benz GLK,"$9,679","120,013 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2008 Mercedes-Benz S-Class,"$12,950","85,749 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Personal use"
2019 Dodge Grand Caravan,"$17,797","30,136 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$40,495","7,012 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Volkswagen Jetta,"$13,881","39,842 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 BMW 6 Series,"$21,995","78,372 miles","4.3 mi - Newark, NJ","No accidents, 3 Owners, Fleet use"
2015 Nissan Pathfinder,"$9,999","116,964 miles","5.7 mi - Brooklyn, NY","No accidents, 4 Owners, Personal use"
2019 Toyota Camry,"$16,995","28,211 miles","5.5 mi - Newark, NJ","No accidents, 1 Owner, Personal use"
2014 Mercedes-Benz M-Class,"$23,286","13,223 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2018 Lexus GX,"$37,995","24,993 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2010 Land Rover Range Rover Sport,"$13,950","66,488 miles","5.7 mi - Brooklyn, NY","2 accidents, 5 Owners, Personal use"
2017 Maserati Levante,"$43,686","30,679 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2019 Mazda CX-9,"$24,897","39,339 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Subaru Forester,"$13,542","82,222 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2017 Lexus LS,"$39,995","24,527 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Audi A5,"$38,686","5,649 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2017 Mercedes-Benz GLC,"$34,806","16,438 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Volvo XC90,"$33,998","31,193 miles","4.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Mazda CX-5,"$20,497","38,651 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2011 Nissan Murano,"$10,995","75,444 miles","2.9 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2012 Hyundai Veloster,"$6,770","93,200 miles","5.1 mi - Newark, NJ","No accidents, 2 Owners, Personal use"
2019 Nissan Maxima,"$22,097","29,977 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
1999 Toyota Camry,"$1,995","140,252 miles","7.1 mi - Staten Island, NY","No accidents, 4 Owners, Personal use"
2018 BMW 7 Series,"$52,900","27,038 miles","4.3 mi - Kearny, NJ","1 accident, 1 Owner, Personal use"
2019 Toyota Corolla,"$12,995","16,932 miles","5.7 mi - Newark, NJ","No accidents, 2 Owners, Fleet use"
2015 Lexus GX,"$27,495","60,200 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2011 Mercedes-Benz C-Class,"$9,880","48,876 miles","7.5 mi - Bloomfield, NJ","2 accidents, 3 Owners, Personal use"
2014 Ford Escape,"$14,995","47,416 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2019 Audi A4,"$32,986","5,210 miles","4.7 mi - Secaucus, NJ","1 accident, 1 Owner, Personal use"
2013 Acura MDX,"$13,995","107,937 miles","2.9 mi - Union City, NJ","1 accident, 2 Owners, Personal use"
2013 Mercedes-Benz M-Class,"$13,995","72,195 miles","5.7 mi - Newark, NJ","No accidents, 3 Owners, Personal use"
2015 Honda Civic,"$11,995","69,560 miles","2.9 mi - Union City, NJ","No accidents, 2 Owners, Fleet use"
2019 Hyundai Elantra,"$10,995","35,605 miles","5.7 mi - Newark, NJ","1 accident, 1 Owner, Fleet use"
2018 Lexus RX,"$38,490","9,575 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2011 Toyota Highlander,"$12,395","131,579 miles","4.1 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2017 Nissan Altima,"$12,942","22,970 miles","6.2 mi - Carlstadt, NJ","1 accident, 2 Owners, Personal use"
2001 Chevrolet S-10,"$3,581","88,288 miles","5.1 mi - New York, NY","No accidents, 5 Owners, Personal use"
2017 Honda Accord,"$12,995","38,899 miles","8 mi - Long Island City, NY","5 accidents, 1 Owner, Personal use"
2019 Mazda CX-9,"$27,697","26,566 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 Toyota RAV4,"$13,995","63,509 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$34,990","20,084 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 Ford Escape,"$12,742","38,968 miles","6.2 mi - Carlstadt, NJ","No accidents, 2 Owners, Personal use"
2019 Toyota Camry,"$20,499","31,532 miles","7.1 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2017 BMW 3 Series,"$17,900","40,550 miles","13 mi - Rahway, NJ","3 accidents, 1 Owner, Fleet use"
2017 Honda Accord,"$16,694","39,688 miles","11 mi - Union, NJ","No accidents, 1 Owner, Personal use"
2000 Nissan Xterra,"$1,995","232,753 miles","8.8 mi - Hasbrouck Heights, NJ","1 accident, 5 Owners, Personal use"
2010 Mercedes-Benz S-Class,"$16,656","80,248 miles","7.5 mi - Bloomfield, NJ","1 accident, 3 Owners, Fleet use"
2017 Lexus ES,"$25,335","26,485 miles","22 mi - Larchmont, NY","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$15,016","36,048 miles","12 mi - Forest Hills, NY","No accidents, 1 Owner, Personal use"
2020 Mercedes-Benz GLC,"$41,884","4,438 miles","17 mi - Paramus, NJ","No accidents, 1 Owner, Personal use"
2017 Chevrolet Cruze,"$9,841","42,143 miles","20 mi - Yonkers, NY","1 accident, 2 Owners, Personal use"
2012 Honda Odyssey,"$11,799","91,582 miles","2.5 mi - Union City, NJ","No accidents, 2 Owners, Personal use"
2020 Mercedes-Benz GLC,"$40,035","4,678 miles","17 mi - Paramus, NJ","No accidents, 1 Owner, Personal use"
2016 Volkswagen Jetta,"$7,900","74,466 miles","16 mi - Bronx, NY","No accidents, 1 Owner, Personal use"
2017 Hyundai Elantra,"$12,594","15,869 miles","7.5 mi - Bloomfield, NJ","No accidents, 1 Owner, Personal use"
2015 Toyota Sienna,"$7,900","160,623 miles","21 mi - Belford, NJ","1 accident, 2 Owners, Fleet use"
2004 Nissan Titan,"$8,800","44,645 miles","22 mi - Hazlet, NJ","No accidents, 1 Owner, Personal use"
2018 Chevrolet Malibu,"$14,990","45,688 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2014 Chevrolet Equinox,"$9,995","44,000 miles","23 mi - Scarsdale, NY","No accidents, 2 Owners, Personal use"
2004 Jeep Liberty,"$2,995","128,827 miles","11 mi - Garfield, NJ","3 accidents, 6 Owners, Fleet use"
2017 Mercedes-Benz GLS,"$48,904","18,737 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$38,990","6,245 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2014 Volkswagen Jetta,"$5,895","90,946 miles","10 mi - Lodi, NJ","1 accident, 2 Owners, Personal use"
2013 Jeep Grand Cherokee,"$10,800","64,243 miles","22 mi - Hazlet, NJ","No accidents, 2 Owners, Personal use"
2017 Chevrolet Traverse,"$12,900","88,181 miles","21 mi - Belford, NJ","2 accidents, 1 Owner, Fleet use"
2017 Lincoln MKC,"$19,999","43,863 miles","13 mi - Englewood, NJ","No accidents, 1 Owner, Personal use"
2013 Lexus ES,"$11,900","103,227 miles","21 mi - Belford, NJ","1 accident, 2 Owners, Personal use"
2017 Ford Explorer,"$17,995","108,375 miles","9.4 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2010 Pontiac G6,"$3,399","101,423 miles","9.7 mi - Garfield, NJ","No accidents, 6 Owners, Personal use"
2017 Honda HR-V,"$13,850","36,377 miles","18 mi - Greatneck, NY","No accidents, 1 Owner, Personal use"
2018 Chevrolet Equinox,"$13,390","45,691 miles","16 mi - Bronx, NY","No accidents, 1 Owner, Personal use"
2017 Toyota RAV4,"$16,888","30,585 miles","14 mi - Jamaica, NY","No accidents, 1 Owner, Personal use"
2017 Mercedes-Benz C-Class,"$33,901","8,510 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 Mercedes-Benz M-Class,"$37,992","56,544 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2019 Audi A5,"$38,286","6,108 miles","4.7 mi - Secaucus, NJ","1 accident, 1 Owner, Personal use"
2011 Volkswagen Jetta,"$5,500","104,117 miles","4.3 mi - Kearny, NJ","1 accident, 2 Owners, Personal use"
2005 Honda Accord,"$3,795","141,843 miles","5.6 mi - Newark, NJ","2 accidents, 6 Owners, Personal use"
2009 Ford Econoline Cargo Van,"$8,995","83,058 miles","5.6 mi - Newark, NJ","1 accident, 1 Owner, Personal use"
2018 Nissan Altima,"$11,495","42,308 miles","5.4 mi - Bayonne, NJ","No accidents, 1 Owner, Personal use"
2012 FIAT 500,"$4,995","82,424 miles","4.3 mi - Newark, NJ","1 accident, 1 Owner, Personal use"
2014 Ford F-150,"$15,542","92,305 miles","6.2 mi - Carlstadt, NJ","No accidents, 3 Owners, Personal use"
2017 Lexus GS,"$34,995","31,172 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2016 Ford Explorer,"$17,542","60,023 miles","6.2 mi - Carlstadt, NJ","1 accident, 1 Owner, Fleet use"
2018 Lexus GX,"$44,995","16,502 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Audi Q7,"$48,286","9,803 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2011 Mercedes-Benz M-Class,"$10,995","126,055 miles","4.3 mi - Newark, NJ","No accidents, 2 Owners, Personal use"
2012 Mercedes-Benz E-Class,"$13,680","88,930 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Fleet use"
2017 Mercedes-Benz GLS,"$49,801","17,546 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2012 Honda Civic,"$9,399","88,697 miles","4.1 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2010 Ford F-150,"$9,495","111,121 miles","5.6 mi - Newark, NJ","No accidents, 3 Owners, Personal use"
2016 Lexus RX,"$29,995","22,462 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Audi A4,"$33,286","13,087 miles","4.7 mi - Secaucus, NJ","1 accident, 1 Owner, Personal use"
2013 INFINITI G,"$17,972","64,685 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2019 Nissan Pathfinder,"$21,797","37,571 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 Ford F-150,"$14,642","99,031 miles","6.2 mi - Carlstadt, NJ","No accidents, 3 Owners, Personal use"
2011 Honda CR-V,"$10,990","36,059 miles","4.8 mi - New York, NY","1 accident, 3 Owners, Personal use"
2017 Mercedes-Benz GLS,"$49,901","26,988 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Mercedes-Benz CLS,"$62,905","12,900 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 Nissan Rogue Select,"$10,995","62,510 miles","2.9 mi - Union City, NJ","No accidents, 4 Owners, Personal use"
2017 Porsche 911,"$89,500","18,864 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Mercedes-Benz E-Class,"$35,901","29,312 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2018 Audi A5,"$29,686","28,701 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$21,990","36,913 miles","10 mi - Elmhurst, NY","No accidents, 1 Owner, Personal use"
2019 Toyota Camry,"$20,398","32,266 miles","7.1 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2017 Toyota Camry,"$13,990","76,896 miles","3.5 mi - New York, NY","No accidents, 2 Owners, Personal use"
2019 Volkswagen Jetta,"$11,995","25,619 miles","5.7 mi - Newark, NJ","1 accident, 1 Owner, Personal use"
2015 Chrysler 200,"$6,799","131,618 miles","8.7 mi - Teterboro, NJ","No accidents, 1 Owner, Personal use"
2019 Nissan Altima,"$16,035","29,099 miles","11 mi - Hackensack, NJ","No accidents, 1 Owner, Personal use"
2016 Ford Fusion,"$12,470","21,551 miles","9.5 mi - Brooklyn, NY","No accidents, 1 Owner, Fleet use"
2017 Honda Civic,"$12,995","37,777 miles","18 mi - Greatneck, NY","No accidents, 1 Owner, Personal use"
2019 Toyota Camry,"$20,498","30,278 miles","7.1 mi - Brooklyn, NY","No accidents, 1 Owner, Personal use"
2013 Jaguar XJ,"$18,990","74,225 miles","3.5 mi - New York, NY","No accidents, 3 Owners, Personal use"
2019 Volkswagen Jetta,"$12,800","17,659 miles","21 mi - North Plainfield, NJ","No accidents, 1 Owner, Personal use"
2017 Honda Accord,"$16,990","74,747 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Fleet use"
2016 Ford Fusion,"$9,995","61,785 miles","23 mi - Scarsdale, NY","No accidents, 2 Owners, Personal use"
2017 Honda Accord,"$14,900","23,997 miles","22 mi - Old Bridge, NJ","No accidents, 1 Owner, Personal use"
2013 Dodge Avenger,"$3,995","153,256 miles","9.6 mi - Ridgewood, NY","5 accidents, 2 Owners, Fleet use"
2007 Mercedes-Benz S-Class,"$9,495","111,284 miles","11 mi - Saddle Brook, NJ","No accidents, 4 Owners, Fleet use"
2017 Chevrolet Equinox,"$12,900","66,525 miles","13 mi - Rahway, NJ","No accidents, 1 Owner, Fleet use"
2015 Nissan Altima,"$9,980","55,585 miles","17 mi - Paramus, NJ","1 accident, 2 Owners, Personal use"
2016 Chevrolet Trax,"$10,505","45,807 miles","25 mi - Mahwah, NJ","No accidents, 1 Owner, Personal use"
1999 Ford F-150,"$3,995","152,839 miles","21 mi - Belford, NJ","1 accident, 4 Owners, Personal use"
2017 Ford Escape,"$14,990","38,436 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2016 Kia Soul,"$9,500","40,823 miles","8.2 mi - Hillside, NJ","1 accident, 1 Owner, Personal use"
2017 Ford Explorer,"$21,990","40,998 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Fleet use"
2007 Subaru Outback,"$3,999","95,291 miles","9.7 mi - Garfield, NJ","1 accident, 3 Owners, Personal use"
2017 Nissan Rogue,"$12,990","33,749 miles","10 mi - Elmhurst, NY","No accidents, 1 Owner, Fleet use"
2017 Nissan Rogue,"$15,905","36,180 miles","9.2 mi - Elizabeth, NJ","No accidents, 1 Owner, Personal use"
2019 Nissan Altima,"$16,045","29,059 miles","11 mi - Hackensack, NJ","No accidents, 1 Owner, Personal use"
2017 Jeep Grand Cherokee,"$17,972","60,765 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2016 Ford Fusion,"$11,590","71,651 miles","3.5 mi - New York, NY","No accidents, 3 Owners, Personal use"
2017 Lexus NX,"$24,223","29,012 miles","22 mi - Larchmont, NY","No accidents, 1 Owner, Personal use"
2017 Nissan Pathfinder,"$19,900","15,950 miles","4.3 mi - Kearny, NJ","No accidents, 1 Owner, Personal use"
2019 Audi S4,"$44,686","7,587 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Fleet use"
2016 Volkswagen Passat,"$12,681","36,977 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Personal use"
2016 Chrysler 200,"$9,900","63,446 miles","4.4 mi - Bayonne, NJ","No accidents, 1 Owner, Fleet use"
1998 Toyota Camry,"$1,995","197,486 miles","7.1 mi - Staten Island, NY","1 accident, 3 Owners, Fleet use"
2017 Audi A8,"$37,781","18,437 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Fleet use"
2015 GMC Sierra 1500,"$21,995","91,165 miles","4.3 mi - Newark, NJ","1 accident, 2 Owners, Personal use"
2019 Audi A5,"$29,498","12,515 miles","4.5 mi - New York, NY","No accidents, 1 Owner, Fleet use"
2017 Audi A4,"$21,686","39,029 miles","4.7 mi - Secaucus, NJ","1 accident, 1 Owner, Personal use"
2013 Volkswagen Golf,"$8,942","80,186 miles","6.2 mi - Carlstadt, NJ","No accidents, 2 Owners, Personal use"
2017 Mercedes-Benz G-Class,"$89,901","27,915 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2013 BMW X5,"$16,496","83,535 miles","1.3 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 BMW X3,"$27,399","12,711 miles","4.5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Porsche Macan,"$49,995","6,174 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Audi A4,"$32,686","7,842 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2017 Lexus LX,"$59,995","30,485 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2012 Toyota RAV4,"$10,999","68,438 miles","4.1 mi - Union City, NJ","1 accident, 2 Owners, Fleet use"
2019 Ford EcoSport,"$17,097","29,767 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Volkswagen Passat,"$16,397","32,888 miles","4.6 mi - New York, NY","No accidents, 1 Owner, Personal use"
2011 Mazda CX-9,"$10,995","65,344 miles","2.9 mi - Union City, NJ","No accidents, 1 Owner, Personal use"
2009 Mercedes-Benz M-Class,"$11,500","83,750 miles","4.3 mi - Kearny, NJ","No accidents, 3 Owners, Personal use"
2017 Lexus LX,"$59,995","35,119 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2015 Honda Pilot,"$16,995","107,311 miles","2.9 mi - Union City, NJ","1 accident, 1 Owner, Personal use"
2017 Mercedes-Benz E-Class,"$36,901","12,083 miles","5 mi - New York, NY","No accidents, 1 Owner, Personal use"
2004 BMW 5 Series,"$3,999","137,510 miles","5.7 mi - Brooklyn, NY","No accidents, 4 Owners, Fleet use"
2017 Dodge Charger,"$19,990","45,818 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2020 McLaren 600LT,"$221,500","5,748 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Jeep Patriot,"$15,990","27,435 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Lamborghini Huracan,"$188,800","6,563 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2016 Jeep Wrangler,"$29,895","21,331 miles","4.8 mi - New York, NY","No accidents, 1 Owner, Personal use"
2020 Mercedes-Benz C-Class,"$40,861","3,726 miles","17 mi - Paramus, NJ","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$39,990","5,743 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2006 Mitsubishi Galant,"$2,499","131,017 miles","8.8 mi - Hasbrouck Heights, NJ","2 accidents, 2 Owners, Personal use"
2013 Ford Fusion,"$10,990","63,546 miles","3.5 mi - New York, NY","No accidents, 2 Owners, Personal use"
2018 Chrysler Pacifica,"$20,490","45,069 miles","16 mi - Bronx, NY","No accidents, 1 Owner, Personal use"
2015 Honda Crosstour,"$8,900","162,445 miles","21 mi - Belford, NJ","1 accident, 1 Owner, Personal use"
2017 Ford Escape,"$19,888","14,065 miles","8.2 mi - Long Island City, NY","3 accidents, 1 Owner, Personal use"
2007 Chevrolet Corvette,"$19,999","41,232 miles","8.8 mi - Hasbrouck Heights, NJ","No accidents, 3 Owners, Personal use"
2019 Volkswagen Jetta,"$13,881","39,842 miles","5.1 mi - New York, NY","No accidents, 1 Owner, Personal use"
2017 Ford Escape,"$15,995","42,733 miles","12 mi - Hackensack, NJ","No accidents, 1 Owner, Fleet use"
2017 Honda Accord,"$17,444","22,417 miles","15 mi - Tenafly, NJ","No accidents, 1 Owner, Personal use"
2017 Ford Explorer,"$23,590","33,870 miles","3.5 mi - New York, NY","No accidents, 1 Owner, Fleet use"
2017 Jeep Grand Cherokee,"$22,300","63,166 miles","22 mi - Hazlet, NJ","No accidents, 1 Owner, Personal use"
2019 Chevrolet Express Passenger,"$19,881","23,760 miles","15 mi - Avenel, NJ","No accidents, 1 Owner, Fleet use"
2008 Chrysler 300,"$3,490","93,281 miles","23 mi - Riverdale, NJ","No accidents, 4 Owners, Fleet use"
2014 Chevrolet Equinox,"$8,900","77,126 miles","16 mi - Bronx, NY","No accidents, 2 Owners, Personal use"
2017 Honda Civic,"$14,799","23,980 miles","11 mi - Union, NJ","No accidents, 1 Owner, Personal use"
